n_neighbors,min_dist,n_components,random_state,metric,n_jobs,embedding
30,0.3,3,42,cosine,8,"[[11.618259  12.229304  12.033282 ]
 [14.84699   15.603994  19.639877 ]
 [18.582409  16.729063  18.063496 ]
 ...
 [-4.646686   5.5735025 14.413339 ]
 [ 8.009747  22.60804   13.058528 ]
 [10.963556  -3.1539955  8.162144 ]]"
5,0.4,3,42,cosine,8,"[[ 2.321628   -0.08561233 -5.39659   ]
 [ 4.7047567   2.4291315   0.486484  ]
 [-0.26929855  8.379115   -1.200375  ]
 ...
 [ 9.947849   -0.7712919   5.3562074 ]
 [11.744783    5.022699    0.23379101]
 [ 3.4677007  -6.0266213  -4.251986  ]]"
10,0.4,3,42,cosine,8,"[[14.3589115  2.217465   8.687873 ]
 [ 8.687721   8.618531   6.2550163]
 [ 6.7045546  7.3234406  9.878936 ]
 ...
 [12.475086  -2.9649458  7.028849 ]
 [15.909106   1.634776  -2.5077958]
 [15.911668   5.5390177 15.004466 ]]"
15,0.4,3,42,cosine,8,"[[ 9.846478    2.4842272   6.27598   ]
 [ 3.7813323   3.1469676  11.135062  ]
 [ 0.85343605  3.5092459   6.8812485 ]
 ...
 [10.628083   -6.5531554   6.6939425 ]
 [17.285776    4.1057186   5.0681767 ]
 [10.662179    6.293963   18.126225  ]]"
20,0.4,3,42,cosine,8,"[[-2.1823297  0.656311   2.7617526]
 [-6.638775  -1.7833699  9.546365 ]
 [-6.6518364  2.3169606 11.307659 ]
 ...
 [10.088264  -6.246006  14.551457 ]
 [ 5.7746477 -3.8755035 -2.3018534]
 [-1.128054  10.02012    4.410653 ]]"
25,0.4,3,42,cosine,8,"[[ -0.47764373   1.9624903    7.7973084 ]
 [ -2.3907995   -6.834135     9.419662  ]
 [  1.6089952   -7.3989916   12.598535  ]
 ...
 [-11.775015     8.250119    -0.22608545]
 [  2.1067517    3.6884432   -5.228416  ]
 [ 15.313803     3.9480302    1.3269563 ]]"
30,0.4,3,42,cosine,8,"[[12.534261  13.964765   9.946974 ]
 [19.33965   19.751802  13.962326 ]
 [21.26808   17.059343   9.578696 ]
 ...
 [-7.955887  13.972887  29.689657 ]
 [ 9.927413  24.797096   7.606591 ]
 [10.106587  -1.7269459  8.956032 ]]"
5,0.5,3,42,cosine,8,"[[ 2.486728    0.5405566  -5.5498533 ]
 [ 4.604496    3.15067     0.16658135]
 [ 0.08733521  9.052832   -0.5218004 ]
 ...
 [ 9.922458    1.1062844   6.112707  ]
 [10.737419    0.5697963  -1.2449784 ]
 [ 2.3231733  -4.3165627  -4.633604  ]]"
10,0.5,3,42,cosine,8,"[[14.301995   2.7794168  9.841406 ]
 [ 9.23929    8.55719    5.981185 ]
 [ 6.6324654  7.650094   9.700586 ]
 ...
 [14.634168  -1.7492957  5.660024 ]
 [14.882243   0.9164349 -2.4515498]
 [16.862938   4.1085634 17.14518  ]]"
15,0.5,3,42,cosine,8,"[[ 9.952926   1.96969    7.3644547]
 [ 2.5187118  3.4545689  6.21835  ]
 [-1.128488   0.8710268  8.482293 ]
 ...
 [10.072933  -5.9212813  4.827151 ]
 [15.939774   4.1158056  3.7734816]
 [11.007679   4.2793508 16.142994 ]]"
20,0.5,3,42,cosine,8,"[[-2.922956    1.1847001   2.9611504 ]
 [-7.5742526  -2.9748406   8.697751  ]
 [-7.596274    1.295909   11.182822  ]
 ...
 [ 7.678904   -9.416318   18.125616  ]
 [ 2.7358298  -3.5500207  -4.11502   ]
 [-0.54884285 10.889035    7.273416  ]]"
25,0.5,3,42,cosine,8,"[[ -1.0529373    1.3059424    7.6749635 ]
 [ -2.1807292   -7.5486474    8.169989  ]
 [  1.800595    -9.916531    10.20089   ]
 ...
 [-13.751293    -1.7127059   -4.658727  ]
 [ -0.07818282   6.32828     -4.694417  ]
 [ 11.337961     3.141737     6.871494  ]]"
30,0.5,3,42,cosine,8,"[[12.163092  13.936132  12.246969 ]
 [16.30785   19.570295  18.390894 ]
 [20.68288   19.905365  14.888713 ]
 ...
 [-7.3460455 15.776629  30.396564 ]
 [ 9.772004  24.298595   9.24361  ]
 [ 6.6792464  1.2910748  5.818625 ]]"
